song_name,genre,length,tempo,sample_rate,zero_crossing_rate_mean,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var
The All-American Rejects - Gives You Hell (Official Music Video).wav,Rock,10361856,100.4464286,48000,0.0661441348,0.48892432,0.08560216,0.17204835,0.0118630305,3360.922438,2227013.533,3810.896398,1047396.719,7158.632853,-142.67776,14126.282,116.91119,1221.4731,-15.920219,889.214,32.511063,415.94278,-7.6297503,276.9374,24.367678,235.8995,-7.170023,118.432396,9.302482,159.14857,0.2269961,112.59551,7.7649307,131.20158,-2.2058845,83.54459,8.001861,93.55655,0.30758965,85.93886,3.6025665,94.22186,-1.5698698,81.00631
Metallica - The Unforgiven III HQ Lyrics.wav,Rock,22332928,122.2826087,48000,0.04903414366,0.46975464,0.08504944,0.295455,0.013724361,2485.82468,1308442.789,2824.231759,989864.5,5183.177871,-93.11193,8566.082,158.2307,988.3747,-37.525345,864.04456,45.635574,728.5309,1.6930497,470.15625,27.516848,237.67377,-7.395331,146.8426,8.419344,127.775276,0.631954,102.91452,5.167889,97.82739,0.012649882,65.61359,-2.0608761,52.39129,2.6695998,64.089485,-3.023861,51.497284,3.407927,62.773216
The Beatles - Love me Do.wav,Rock,6632448,74.01315789,48000,0.06628593243,0.39728403,0.09376357,0.27645195,0.010839499,2440.138596,515420.3492,2485.506823,186386.6355,4989.945967,-104.67065,3562.8584,175.06438,513.91785,-66.4764,459.91766,54.15565,367.9598,-4.2001977,338.7862,10.899512,140.95807,11.646485,95.833176,-12.29737,155.18637,21.759726,84.62613,-15.313592,114.882996,0.67288405,72.82879,5.4201093,80.31364,-12.755919,81.92972,12.485185,57.41041,-5.676781,66.382706
Money - Pink Floyd + Lyrics.wav,Rock,18363351,130.8139535,48000,0.06586728098,0.50963676,0.08007144,0.09319047,0.0020602983,2748.735232,1287093.446,2966.613752,579422.3367,5791.041219,-209.1316,7055.7236,145.6256,959.1539,-40.88325,1468.0431,53.215263,490.6939,-0.23685531,400.37283,31.790077,249.04631,-1.3295593,189.33836,-0.37075067,153.22891,9.08352,107.720924,0.9789101,107.96348,13.126484,97.56928,-2.265929,84.992836,3.650707,81.35995,1.9105107,78.47599,3.1945498,66.88676
Great Balls of Fire-Jerry Lee Lewis-original song-1957.wav,Rock,5269504,108.1730769,48000,0.05729951054,0.43168244,0.09396439,0.097757205,0.0018292194,3134.826834,716306.0053,3706.476302,372884.8373,6602.024738,-176.99174,3956.566,132.29482,700.89056,-28.61143,448.96722,43.11107,282.70618,-9.269357,180.77704,16.031487,149.51491,-10.785285,116.41526,9.379377,104.68443,-5.613338,69.11038,2.152374,107.35754,-6.032121,79.38506,5.4424357,75.0095,0.003666462,63.406883,0.7641704,77.652176,-1.6702627,72.280655
Rolling Stones - Angie (HQ).wav,Rock,12953088,137.195122,48000,0.04617972178,0.4427446,0.083615065,0.11953251,0.0032093427,2235.183771,627615.5709,2625.018127,253342.4581,4680.303854,-181.71724,6297.7104,165.94041,463.7041,-37.566868,683.862,48.211884,470.6671,-5.5056453,296.8204,13.874992,142.57378,-1.8820436,94.76273,3.082637,88.356476,9.839589,61.945362,-7.7300777,69.73621,8.088966,85.53787,-8.592698,63.96974,-0.3744089,69.9371,-2.3921657,60.649067,-1.9445373,51.378605
Bryan Adams - Summer Of 69 (Official Music Video).wav,Rock,10207232,137.195122,48000,0.06749440005,0.44567353,0.08270884,0.234289,0.0044082925,3123.565001,1142260.702,3544.945284,573376.6874,6428.109091,-66.347275,3980.029,146.15007,709.69574,-39.930542,350.12054,36.882175,174.80885,-11.097156,238.16226,21.468102,139.79216,-11.760302,144.91187,14.276618,101.53914,-5.696188,88.76575,9.4281645,71.02223,-0.57837737,67.74443,6.6702113,63.13746,2.3271856,65.56029,1.1534193,59.352898,-2.5055728,55.97162
Manowar - Master of the wind.wav,Rock,15563776,119.6808511,48000,0.04568171631,0.4108783,0.08842045,0.07300978,0.00396841,2380.913829,1749054.59,3042.258183,522010.4421,4955.792645,-262.5289,8132.699,131.07022,1732.6082,2.8015993,650.7004,31.084682,445.4631,-1.5070747,380.3537,11.521506,178.93861,4.6823525,117.2489,-1.8720949,143.96321,0.92319906,103.918884,1.2602514,106.51142,-1.6310209,86.188995,-2.917674,71.0457,1.0082079,65.40836,-2.2732527,66.888466,-0.0644546,67.917854
𝕬 𝖂𝖍𝖎𝖙𝖊𝖗 𝕾𝖍𝖆𝖉𝖊 𝕺𝖋 𝕻𝖆𝖑𝖊 - 𝕻𝖗𝖔𝖈𝖔𝖑 𝕳𝖆𝖗𝖚𝖒.wav,Rock,11450368,74.01315789,48000,0.04646776418,0.39632624,0.082656614,0.16693804,0.00202823,2168.879881,397628.9999,2573.410712,184498.1347,4658.370012,-149.30829,1799.0521,173.31076,393.85147,-40.021748,430.04745,57.11747,296.7172,-14.959817,159.9473,7.84636,155.11308,0.80554324,93.3842,-5.5159407,78.95919,-0.81874084,65.21803,-12.858423,67.70286,1.7577761,55.356728,-7.2202325,50.81389,-2.6579416,64.42479,-6.874208,55.73856,-2.082957,73.97964
Blues Brothers - Everybody Needs Somebody.wav,Rock,9632768,96.98275862,48000,0.06814905124,0.4583355,0.07985232,0.19004814,0.006302832,2813.54041,577636.544,3121.83225,538365.0133,5408.739702,-94.69567,5219.8496,155.97845,657.3521,-55.23703,263.09558,32.656673,285.8845,-6.994104,187.91425,19.0333,200.20515,-9.57254,145.4299,11.621676,89.72298,-3.5362883,107.71223,5.5406156,81.472046,-3.3950105,107.46124,3.2237003,73.386635,-0.49476704,87.82025,-2.3413575,66.63381,-1.8399566,63.813927
Disturbed - Down with the Sickness (Lyrics).wav,Rock,12207616,90.66611842,44100,0.08292700229,0.6055283,0.067703135,0.29434165,0.0067394855,3250.657308,1415050.973,3236.364574,488042.2019,6550.673303,-51.904655,5426.705,130.46962,696.2476,-55.83043,454.47464,52.71665,251.66483,-3.2688792,442.1889,36.118553,224.23903,-11.444409,235.33122,21.946129,100.62159,-3.3409042,116.32911,13.513738,62.57885,3.957666,65.74121,3.8330348,51.52317,2.9911826,38.49314,1.1403972,34.578415,5.5588593,39.595184
Metallica - The Day That Never Comes [Official Music Video].wav,Rock,24150528,130.8139535,48000,0.0747409332,0.53263617,0.0789292,0.2161733,0.007097256,3400.883201,1108754.913,3415.038654,550959.0462,6857.400592,-86.73268,8607.365,130.2215,690.9129,-46.938564,617.37933,58.695908,448.96594,-4.065816,294.88626,27.40021,221.94922,-12.030345,116.73887,11.312327,119.20385,-4.62148,87.04138,7.1261106,86.22588,-2.69452,63.253826,4.060321,64.40627,-2.052549,47.983776,2.4500067,41.387226,1.865759,52.66201
Billy Talent - Red Flag [Lyrics].wav,Rock,8632320,92.28515625,44100,0.0811190966,0.5437584,0.07619898,0.27135745,0.009522069,2846.092163,475936.566,2647.941606,111782.9252,5839.284652,-73.04786,2683.4246,148.54149,580.4646,-67.70393,392.28418,71.11349,248.5629,-7.563905,229.64708,19.026117,152.15999,9.764507,104.00291,-4.646907,98.67745,14.691462,63.367867,-1.4476953,60.47034,11.896781,66.2374,1.7171159,57.388237,0.41207093,53.689167,4.510286,56.571007,-0.4027684,44.162315
Deep Purple-Child in Time.wav,Rock,29497344,125,48000,0.03871890974,0.4776075,0.084098354,0.16074994,0.005240384,1772.865755,492220.8385,2093.336961,281811.57,3577.003969,-200.03723,9393.433,175.47595,864.83673,-41.073772,2324.1343,48.461967,463.842,10.755302,290.76395,11.74737,151.07993,14.039753,102.94624,5.2182894,133.16164,10.53153,82.39637,-7.0057554,85.91706,8.66294,94.38184,3.8517764,82.650276,0.33533323,72.41381,1.3500155,79.94474,-4.64019,64.18696
ZZ Top Sharp Dressed Man.wav,Rock,12072960,125,48000,0.07525751763,0.50640047,0.07425503,0.1652971,0.0060709687,3469.270452,755335.6543,3720.684723,400140.6679,7225.593102,-100.563194,3709.8499,131.26828,589.5478,-41.39418,314.86267,50.824738,257.2043,-1.434283,294.8276,27.277496,130.99352,-16.951141,91.09211,13.840223,90.39951,-10.73445,58.953518,7.344287,62.94822,1.0256013,46.28969,-0.015087582,46.664803,4.1185603,49.84045,0.35331836,43.78588,5.1913195,41.108566
Moody Blues - Nights in White Satin Lyrics.wav,Rock,14657749,156.25,48000,0.03353823292,0.41513243,0.088516444,0.10247127,0.0017226954,1916.420787,584737.9385,2906.296695,592337.1027,3604.914106,-226.16783,4338.247,173.49614,791.37665,-9.611388,706.7672,21.073502,295.56247,-4.226458,209.53421,30.945724,198.60149,-8.518872,100.25695,11.400585,111.30609,1.6295395,72.32766,3.8177059,68.29261,0.8452347,74.069885,-0.046802957,62.033554,3.3887148,79.39867,-4.3620763,80.61252,3.334343,66.48554
